5/18/2009,,SD,Pre-trial,Prosecutor v. Abu Garda,Initial appearance,
2/8/2010,,SD,Pre-trial,Prosecutor v. Abu Garda,Decision on the [confirmation of charges](http://www.icc-cpi.int/iccdocs/doc/doc819602.pdf) (not confirmed),
7/12/2010,,SD,Pre-trial,Prosecutor v. Al Bashir,[Second warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc907140.pdf) issued (amending to include charges of genocide),
6/17/2010,,SD,Pre-trial,Prosecutor v. Banda,[Initial appearance](https://www.youtube.com/watch?v=YvFXgt-gRE0),
3/7/2011,,SD,Pre-trial,Prosecutor v. Banda,Decision on the [confirmation of charges](http://www.icc-cpi.int/iccdocs/doc/doc1036947.pdf) (confirmed),
10/4/2013,,SD,Pre-trial,Prosecutor v. Banda,Proceedings against Saleh Mohammed Jerbo Jamus terminated following his death,
9/11/2014,,SD,Pre-trial,Prosecutor v. Banda,[Warrant of arrest](http://www.icc-cpi.int/en_menus/icc/press%20and%20media/press%20releases/Pages/pr1039.aspx) issued,
6/10/2008,,CF,Pre-trial,Prosecutor v. Bemba,Second [warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc535163.pdf) issued (amending to include additional charges of war crimes and crimes against humanity),
7/3/2008,,CF,Pre-trial,Prosecutor v. Bemba,Bemba transferred to ICC custody,
7/4/2008,,CF,Pre-trial,Prosecutor v. Bemba,Initial appearance,
6/15/2009,,CF,Pre-trial,Prosecutor v. Bemba,Decision on the [confirmation of charges](http://www.icc-cpi.int/iccdocs/doc/doc699541.pdf) (confirmed),
11/22/2010,,CF,Trial,Prosecutor v. Bemba,[Opening of trial](http://www.haguejusticeportal.net/index.php?id=12286),
11/25/2013,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Kilolo and Babala transferred to ICC custody,
11/27/2013,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.","Initial appearance of Bemba, Kilolo and Babala",
12/4/2013,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Magenda transferred to ICC custody,
12/5/2013,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Initial appearance of Magenda,
3/18/2014,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Arido transferred to ICC custody,
3/20/2014,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Initial appearance of Arido,
11/11/2014,,CF,Pre-trial,"Prosecutor v. Bemba and Kilolo, et. al.",Decision on the confirmation of charges (partially confirmed),
2014-03-22,,CI,Pre-trial,Prosecutor v. Blé Goudé,Blé Goudé transferred to ICC custody,
2014-03-27,,CI,Pre-trial,Prosecutor v. Blé Goudé,Initial appearance,
2/7/2008,,CD,Pre-trial,Prosecutor v. Chui,Chui [transferred](http://www.haguejusticeportal.net/index.php?id=8878) to ICC custody,
3/10/2008,,CD,Pre-trial,Prosecutor v. Chui,"[Joinder of cases](http://www.icc-cpi.int/iccdocs/doc/doc452993.pdf) against Germain Katanga and Mathieu Ngudjolo Chui
",
9/26/2008,,CD,Pre-trial,Prosecutor v. Chui,Decision on the [confirmation of charges](http://www.icc-cpi.int/iccdocs/doc/doc571253.pdf) (confirmed),
11/24/2009,,CD,Trial,Prosecutor v. Chui,[Opening of trial](http://icc-cpi.int/en_menus/icc/situations%20and%20cases/situations/situation%20icc%200104/related%20cases/icc%200104%200107/press%20releases/Pages/pr477.aspx),
11/21/2012,,CD,Trial,Prosecutor v. Chui,Severing of charges against Germain Katanga and Mathieu Ngudjolo Chui,
12/18/2012,,CD,Trial,Prosecutor v. Chui,Judgment issued (acquitted of all charges),
2011-11-22,,LY,Pre-trial,Prosecutor v. Gaddafi,Proceedings against Gaddafi terminated following his [death](http://www.icc-cpi.int/iccdocs/doc/doc1274559.pdf),
10/17/2007,,CD,Pre-trial,Prosecutor v. Katanga,Katanga [transferred](http://icc-cpi.int/en_menus/icc/situations%20and%20cases/situations/situation%20icc%200104/related%20cases/icc%200104%200107/press%20releases/Pages/second%20arrest_%20germain%20katanga%20transferred%20into%20the%20custody%20of%20the%20icc.aspx) to ICC custody,
3/10/2008,,CD,Pre-trial,Prosecutor v. Katanga,"[Joinder of cases](http://www.icc-cpi.int/iccdocs/doc/doc452993.pdf) against Germain Katanga and Mathieu Ngudjolo Chui
",
9/26/2008,,CD,Pre-trial,Prosecutor v. Katanga,Decision on the [confirmation of charges](http://www.icc-cpi.int/iccdocs/doc/doc571253.pdf) (confirmed),
11/24/2009,,CD,Trial,Prosecutor v. Katanga,[Opening of trial](http://icc-cpi.int/en_menus/icc/situations%20and%20cases/situations/situation%20icc%200104/related%20cases/icc%200104%200107/press%20releases/Pages/pr477.aspx),
11/21/2012,,CD,Trial,Prosecutor v. Katanga,Severing of charges against Germain Katanga and Mathieu Ngudjolo Chui,
3/7/2014,,CD,Trial,Prosecutor v. Katanga,"Judgment issued (guilty of murder as a crime against humanity and murder, attacks
against a civilian population, destruction of property and pillaging as war crimes but acquitted of other charges)
",
5/23/2014,,CD,Trial,Prosecutor v. Katanga,Sentenced (to 12 years imprisonment),
2011-04-08,,KE,Pre-trial,Prosecutor v. Kenyatta,Initial appearance,
